Sample,SeqRun,LibID,Read_no,ID,Line,Mean,Plant,Date,Week,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ181123-53,MQ181123,LIB-Ejby-LT-386,,Ejby Moelle-LT-386,"","",Ejby Mølle,2018-03-15,11,2018,Spring,Alternating,"","","","","",,,,,,,34.72632968,9.672197491,
MQ181123-54,MQ181123,LIB-Ejby-LT-01,,Ejby Moelle-LT-01,"","",Ejby Mølle,2018-03-22,12,2018,Spring,Alternating,"","","","","",,,,,,,38.11024159,10.23497572,
MQ181123-55,MQ181123,LIB-Ejby-LT-04,,Ejby Moelle-LT-04,"","",Ejby Mølle,2018-03-28,13,2018,Spring,Alternating,"","","","","",,,,,,,52.9596433,4.106384055,
MQ181123-56,MQ181123,LIB-Ejby-LT-07,,Ejby Moelle-LT-07,"","",Ejby Mølle,2018-04-05,14,2018,Spring,Alternating,"","","","","",,,,,,,41.09604623,7.718282072,
MQ181123-57,MQ181123,LIB-Ejby-LT-10,,Ejby Moelle-LT-10,"","",Ejby Mølle,2018-04-11,15,2018,Spring,Alternating,"","","","","",,,,,,,31.57559489,5.985683934,
MQ181123-58,MQ181123,LIB-Ejby-LT-388,,Ejby Moelle-LT-388,"","",Ejby Mølle,2018-04-20,16,2018,Spring,Alternating,"","","","","",,,,,,,29.38486737,6.463729259,
MQ181123-59,MQ181123,LIB-Ejby-LT-391,,Ejby Moelle-LT-391,"","",Ejby Mølle,2018-04-30,18,2018,Spring,Alternating,"","","","","",,,,,,,31.09331635,5.67204573,
MQ181123-60,MQ181123,LIB-Ejby-LT-394,,Ejby Moelle-LT-394,"","",Ejby Mølle,2018-05-08,19,2018,Spring,Alternating,"","","","","",,,,,,,27.55016152,6.384055038,
MQ181123-61,MQ181123,LIB-Ejby-LT-397,,Ejby Moelle-LT-397,"","",Ejby Mølle,2018-05-15,20,2018,Spring,Alternating,"","","","","",,,,,,,25.87356113,5.980625253,
MQ181123-62,MQ181123,LIB-Ejby-LT-400,,Ejby Moelle-LT-400,"","",Ejby Mølle,2018-05-25,21,2018,Spring,Alternating,"","","","","",,,,,,,28.10978661,6.453611898,
MQ181123-63,MQ181123,LIB-Ejby-LT-403,,Ejby Moelle-LT-403,"","",Ejby Mølle,2018-05-29,22,2018,Spring,Alternating,"","","","","",,,,,,,23.73060649,4.904390935,
MQ181123-64,MQ181123,LIB-Ejby-LT-406,,Ejby Moelle-LT-406,"","",Ejby Mølle,2018-06-07,23,2018,Spring,Alternating,"","","","","",,,,,,,30.05141271,6.041329421,
MQ181123-65,MQ181123,LIB-Ejby-LT-409,,Ejby Moelle-LT-409,"","",Ejby Mølle,2018-06-14,24,2018,Spring,Alternating,"","","","","",,,,,,,29.67491697,7.84727843,
MQ181123-66,MQ181123,LIB-Ejby-LT-412,,Ejby Moelle-LT-412,"","",Ejby Mølle,2018-06-20,25,2018,Summer,Alternating,"","","","","",,,,,,,31.47891169,7.794162282,
MQ181123-67,MQ181123,LIB-Ejby-LT-415,,Ejby Moelle-LT-415,"","",Ejby Mølle,2018-07-05,27,2018,Summer,Alternating,"","","","","",,,,,,,27.23167569,5.268615945,
MQ181123-68,MQ181123,LIB-Ejby-LT-418,,Ejby Moelle-LT-418,"","",Ejby Mølle,2018-07-12,28,2018,Summer,Alternating,"","","","","",,,,,,,26.94731334,6.635724403,
MQ181123-69,MQ181123,LIB-Ejby-LT-421,,Ejby Moelle-LT-421,"","",Ejby Mølle,2018-07-17,29,2018,Summer,Alternating,"","","","","",,,,,,,19.90308931,8.021802914,
MQ181123-70,MQ181123,LIB-Ejby-LT-424,,Ejby Moelle-LT-424,"","",Ejby Mølle,2018-07-31,31,2018,Summer,Alternating,"","","","","",,,,,,,24.45971154,7.139063132,
MQ181123-71,MQ181123,LIB-Ejby-LT-427,,Ejby Moelle-LT-427,"","",Ejby Mølle,2018-08-07,32,2018,Summer,Alternating,"","","","","",,,,,,,12.67687338,7.103652367,
MQ181123-72,MQ181123,LIB-Ejby-LT-430,,Ejby Moelle-LT-430,"","",Ejby Mølle,2018-08-16,33,2018,Summer,Alternating,"","","","","",,,,,,,22.82747168,9.366147309,
MQ181123-73,MQ181123,LIB-Ejby-LT-433,,Ejby Moelle-LT-433,"","",Ejby Mølle,2018-08-27,35,2018,Summer,Alternating,"","","","","",,,,,,,18.61322171,8.332911777,
MQ181123-74,MQ181123,LIB-Ejby-LT-436,,Ejby Moelle-LT-436,"","",Ejby Mølle,2018-09-07,36,2018,Summer,Alternating,"","","","","",,,,,,,23.32339961,5.966713881,
MQ181123-75,MQ181123,LIB-Ejby-LT-439,,Ejby Moelle-LT-439,"","",Ejby Mølle,2018-09-13,37,2018,Summer,Alternating,"","","","","",,,,,,,21.56376541,3.99888709,
MQ181123-76,MQ181123,LIB-Ejby-LT-442,,Ejby Moelle-LT-442,"","",Ejby Mølle,2018-09-20,38,2018,Fall,Alternating,"","","","","",,,,,,,23.23126621,3.984975718,
MQ181123-77,MQ181123,LIB-Ejby-LT-445,,Ejby Moelle-LT-445,"","",Ejby Mølle,2018-09-27,39,2018,Fall,Alternating,"","","","","",,,,,,,27.55698621,4.115236746,
MQ181123-78,MQ181123,LIB-Ejby-LT-448,,Ejby Moelle-LT-448,"","",Ejby Mølle,2018-10-02,40,2018,Fall,Alternating,"","","","","",,,,,,,30.78393012,5.971772562,
MQ181123-79,MQ181123,LIB-Ejby-LT-451,,Ejby Moelle-LT-451,"","",Ejby Mølle,2018-10-09,41,2018,Fall,Alternating,"","","","","",,,,,,,24.40056417,5.173765682,
MQ181123-80,MQ181123,LIB-Ejby-LT-454,,Ejby Moelle-LT-454,"","",Ejby Mølle,2018-10-18,42,2018,Fall,Alternating,"","","","","",,,,,,,22.2337231,5.053622015,
MQ181123-81,MQ181123,LIB-Ejby-LT-457,,Ejby Moelle-LT-457,"","",Ejby Mølle,2018-10-25,43,2018,Fall,Alternating,"","","","","",,,,,,,18.56203649,10.73704978,
MQ181123-82,MQ181123,LIB-Ejby-LT-460,,Ejby Moelle-LT-460,"","",Ejby Mølle,2018-11-01,44,2018,Fall,Alternating,"","","","","",,,,,,,31.89408071,8.905807365,
MQ181123-83,MQ181123,LIB-Ejby-LT-463,,Ejby Moelle-LT-463,"","",Ejby Mølle,2018-11-08,45,2018,Fall,Alternating,"","","","","",,,,,,,26.61972792,5.855422906,
