Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ190919-247,MQ190919,LIB-Damhusaen-LT-D-152,,"",Winter,D,mean,Damhusåen-D,2019-02-14,7,2019,,"","","","","","",,,,,,,,,
MQ190919-248,MQ190919,LIB-Damhusaen-LT-D-153,,"",Winter,D,mean,Damhusåen-D,2019-02-28,9,2019,,"","","","","","",,,,,,,,,
MQ190919-249,MQ190919,LIB-Damhusaen-LT-D-154,,"",Winter,D,mean,Damhusåen-D,2019-03-08,10,2019,,"","","","","","",,,,,,,,,
MQ190919-250,MQ190919,LIB-Damhusaen-LT-D-155,,"",Winter,D,mean,Damhusåen-D,2019-03-13,11,2019,,"","","","","","",,,,,,,,,
MQ190919-251,MQ190919,LIB-Damhusaen-LT-D-156,,"",Spring,D,mean,Damhusåen-D,2019-03-21,12,2019,,"","","","","","",,,,,,,,,
MQ190919-252,MQ190919,LIB-Damhusaen-LT-D-157,,"",Spring,D,mean,Damhusåen-D,2019-03-26,13,2019,,"","","","","","",,,,,,,,,
MQ190919-253,MQ190919,LIB-Damhusaen-LT-D-158,,"",Spring,D,mean,Damhusåen-D,2019-03-29,13,2019,,"","","","","","",,,,,,,,,
MQ190919-254,MQ190919,LIB-Damhusaen-LT-D-159,,"",Spring,D,mean,Damhusåen-D,2019-04-05,14,2019,,"","","","","","",,,,,,,,,
MQ181023-67,MQ181023,LIB-BB-Dam-D-20180312,,Dam-D-20180312,Winter,D,mean,Damhusåen-D,2018-03-12,11,2018,,"","","","","","",,,,,,,13.69306237,3.494623656,
MQ181023-68,MQ181023,LIB-BB-Dam-D-20180316,,Dam-D-20180316,Spring,D,mean,Damhusåen-D,2018-03-16,11,2018,,"","","","","","",,,,,,,14.03877599,13.49959339,
MQ181023-69,MQ181023,LIB-BB-Dam-D-20180320,,Dam-D-20180320,Spring,D,mean,Damhusåen-D,2018-03-20,12,2018,,"","","","","","",,,,,,,16.89558514,12.06966658,
MQ181023-70,MQ181023,LIB-BB-Dam-D-20180323,,Dam-D-20180323,Spring,D,mean,Damhusåen-D,2018-03-23,12,2018,,"","","","","","",,,,,,,19.59822471,13.87232312,
MQ181023-71,MQ181023,LIB-BB-Dam-D-20180328,,Dam-D-20180328,Spring,D,mean,Damhusåen-D,2018-03-28,13,2018,,"","","","","","",,,,,,,17.5169353,11.75792898,
MQ181023-72,MQ181023,LIB-BB-Dam-D-20180403,,Dam-D-20180403,Spring,D,mean,Damhusåen-D,2018-04-03,14,2018,,"","","","","","",,,,,,,12.96659659,11.67208819,
MQ181023-73,MQ181023,LIB-BB-Dam-D-20180406,,Dam-D-20180406,Spring,D,mean,Damhusåen-D,2018-04-06,14,2018,,"","","","","","",,,,,,,16.19131044,11.35809162,
MQ181023-74,MQ181023,LIB-BB-Dam-D-20180413,,Dam-D-20180413,Spring,D,mean,Damhusåen-D,2018-04-13,15,2018,,"","","","","","",,,,,,,15.54543331,13.9446101,
MQ181023-75,MQ181023,LIB-BB-Dam-D-20180416,,Dam-D-20180416,Spring,D,mean,Damhusåen-D,2018-04-16,16,2018,,"","","","","","",,,,,,,11.96799813,7.655642902,
MQ181023-76,MQ181023,LIB-BB-Dam-D-20180424,,Dam-D-20180424,Spring,D,mean,Damhusåen-D,2018-04-24,17,2018,,"","","","","","",,,,,,,17.36743751,11.65401645,
