Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ221128-75,MQ221128,LIB-Hirtshals-LT-755,,"",Spring,"",Activated sludge,Hirtshals,2021-06-08,23,2021,,"","","","","","",,,,,,,,,
MQ221128-76,MQ221128,LIB-Hirtshals-LT-759,,"",Spring,"",Activated sludge,Hirtshals,2021-06-14,24,2021,,"","","","","","",,,,,,,,,
MQ221128-77,MQ221128,LIB-Hirtshals-LT-763,,"",Summer,"",Activated sludge,Hirtshals,2021-06-23,25,2021,,"","","","","","",,,,,,,,,
MQ221128-78,MQ221128,LIB-Hirtshals-LT-767,,"",Summer,"",Activated sludge,Hirtshals,2021-06-29,26,2021,,"","","","","","",,,,,,,,,
MQ221128-79,MQ221128,LIB-Hirtshals-LT-771,,"",Summer,"",Activated sludge,Hirtshals,2021-07-05,27,2021,,"","","","","","",,,,,,,,,
MQ221128-80,MQ221128,LIB-Hirtshals-LT-775,,"",Summer,"",Activated sludge,Hirtshals,2021-07-12,28,2021,,"","","","","","",,,,,,,,,
MQ221128-81,MQ221128,LIB-Hirtshals-LT-779,,"",Summer,"",Activated sludge,Hirtshals,2021-07-19,29,2021,,"","","","","","",,,,,,,,,
MQ221128-82,MQ221128,LIB-Hirtshals-LT-783,,"",Summer,"",Activated sludge,Hirtshals,2021-07-27,30,2021,,"","","","","","",,,,,,,,,
MQ221128-83,MQ221128,LIB-Hirtshals-LT-787,,"",Summer,"",Activated sludge,Hirtshals,2021-08-02,31,2021,,"","","","","","",,,,,,,,,
MQ221128-84,MQ221128,LIB-Hirtshals-LT-791,,"",Summer,"",Activated sludge,Hirtshals,2021-08-06,31,2021,,"","","","","","",,,,,,,,,
MQ221128-85,MQ221128,LIB-Hirtshals-LT-795,,"",Summer,"",Activated sludge,Hirtshals,2021-08-11,32,2021,,"","","","","","",,,,,,,,,
MQ221128-86,MQ221128,LIB-Hirtshals-LT-799,,"",Summer,"",Activated sludge,Hirtshals,2021-08-18,33,2021,,"","","","","","",,,,,,,,,
MQ221128-87,MQ221128,LIB-Hirtshals-LT-803,,"",Summer,"",Activated sludge,Hirtshals,2021-09-10,36,2021,,"","","","","","",,,,,,,,,
MQ221128-88,MQ221128,LIB-Hirtshals-LT-807,,"",Fall,"",Activated sludge,Hirtshals,2021-09-15,37,2021,,"","","","","","",,,,,,,,,
MQ221128-89,MQ221128,LIB-Hirtshals-LT-811,,"",Fall,"",Activated sludge,Hirtshals,2021-09-20,38,2021,,"","","","","","",,,,,,,,,
MQ221128-90,MQ221128,LIB-Hirtshals-LT-815,,"",Fall,"",Activated sludge,Hirtshals,2021-09-27,39,2021,,"","","","","","",,,,,,,,,
MQ221128-91,MQ221128,LIB-Hirtshals-LT-819,,"",Fall,"",Activated sludge,Hirtshals,2021-10-05,40,2021,,"","","","","","",,,,,,,,,
MQ221128-92,MQ221128,LIB-Hirtshals-LT-823,,"",Fall,"",Activated sludge,Hirtshals,2021-10-26,43,2021,,"","","","","","",,,,,,,,,
MQ221128-93,MQ221128,LIB-Hirtshals-LT-827,,"",Fall,"",Activated sludge,Hirtshals,2021-11-01,44,2021,,"","","","","","",,,,,,,,,
MQ221128-94,MQ221128,LIB-Hirtshals-LT-831,,"",Fall,"",Activated sludge,Hirtshals,2021-11-08,45,2021,,"","","","","","",,,,,,,,,
MQ221128-95,MQ221128,LIB-Hirtshals-LT-835,,"",Fall,"",Activated sludge,Hirtshals,2021-11-15,46,2021,,"","","","","","",,,,,,,,,
MQ221128-96,MQ221128,LIB-Hirtshals-LT-839,,"",Fall,"",Activated sludge,Hirtshals,2021-11-22,47,2021,,"","","","","","",,,,,,,,,
MQ221128-97,MQ221128,LIB-Hirtshals-LT-843,,"",Fall,"",Activated sludge,Hirtshals,2021-11-29,48,2021,,"","","","","","",,,,,,,,,
