Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ200420-92,MQ200420,LIB-AalborgW-LT-773,45488,,Summer,Activated sludge,,Aalborg W,2019-09-09,37,2019,,,,,,,,,,,,,,,,
MQ200420-94,MQ200420,LIB-AalborgW-LT-777,44235,,Fall,Activated sludge,,Aalborg W,2019-09-23,39,2019,,,,,,,,,,,,,,,,
MQ200420-96,MQ200420,LIB-AalborgW-LT-781,48278,,Fall,Activated sludge,,Aalborg W,2019-10-10,41,2019,,,,,,,,,,,,,,,,
MQ200420-98,MQ200420,LIB-AalborgW-LT-785,26310,,Fall,Activated sludge,,Aalborg W,2019-10-29,44,2019,,,,,,,,,,,,,,,,
MQ200420-100,MQ200420,LIB-AalborgW-LT-789,31925,,Fall,Activated sludge,,Aalborg W,2019-11-12,46,2019,,,,,,,,,,,,,,,,
MQ201009-2,MQ201009,LIB-Aalborg-Vest-803,28901,,Winter,Activated sludge,,Aalborg W,2020-01-07,2,2020,,,,,,,,,,,,,,,,
MQ201009-4,MQ201009,LIB-Aalborg-Vest-807,26839,,Winter,Activated sludge,,Aalborg W,2020-01-20,4,2020,,,,,,,,,,,,,,,,
MQ201009-6,MQ201009,LIB-Aalborg-Vest-811,24964,,Winter,Activated sludge,,Aalborg W,2020-01-27,5,2020,,,,,,,,,,,,,,,,
MQ220615-218,MQ220615,LIB-Aalborg-Vest-LT-867,,,Winter,Activated sludge,,Aalborg W,2020-02-09,6,2020,,,,,,,,,,,,,,,,
MQ201009-8,MQ201009,LIB-Aalborg-Vest-815,26421,,Winter,Activated sludge,,Aalborg W,2020-02-12,7,2020,,,,,,,,,,,,,,,,
MQ201009-10,MQ201009,LIB-Aalborg-Vest-819,29569,,Winter,Activated sludge,,Aalborg W,2020-03-04,10,2020,,,,,,,,,,,,,,,,
MQ201009-12,MQ201009,LIB-Aalborg-Vest-823,30280,,Spring,Activated sludge,,Aalborg W,2020-03-30,14,2020,,,,,,,,,,,,,,,,
MQ201009-14,MQ201009,LIB-Aalborg-Vest-827,28245,,Spring,Activated sludge,,Aalborg W,2020-04-14,16,2020,,,,,,,,,,,,,,,,
MQ201009-16,MQ201009,LIB-Aalborg-Vest-831,32341,,Spring,Activated sludge,,Aalborg W,2020-04-27,18,2020,,,,,,,,,,,,,,,,
MQ220615-220,MQ220615,LIB-Aalborg-Vest-LT-877,,,Spring,Activated sludge,,Aalborg W,2020-05-10,19,2020,,,,,,,,,,,,,,,,
MQ201009-19,MQ201009,LIB-Aalborg-Vest-837,36934,,Spring,Activated sludge,,Aalborg W,2020-05-19,21,2020,,,,,,,,,,,,,,,,
MQ201009-21,MQ201009,LIB-Aalborg-Vest-841,34813,,Spring,Activated sludge,,Aalborg W,2020-06-02,23,2020,,,,,,,,,,,,,,,,
MQ201009-23,MQ201009,LIB-Aalborg-Vest-845,33057,,Summer,Activated sludge,,Aalborg W,2020-06-16,25,2020,,,,,,,,,,,,,,,,
MQ201009-25,MQ201009,LIB-Aalborg-Vest-849,23166,,Summer,Activated sludge,,Aalborg W,2020-06-30,27,2020,,,,,,,,,,,,,,,,
MQ220615-221,MQ220615,LIB-Aalborg-Vest-LT-869,,,Summer,Activated sludge,,Aalborg W,2020-07-09,28,2020,,,,,,,,,,,,,,,,
MQ201009-28,MQ201009,LIB-Aalborg-Vest-855,31996,,Summer,Activated sludge,,Aalborg W,2020-07-20,30,2020,,,,,,,,,,,,,,,,
MQ201009-30,MQ201009,LIB-Aalborg-Vest-859,25510,,Summer,Activated sludge,,Aalborg W,2020-08-04,32,2020,,,,,,,,,,,,,,,,
MQ220615-223,MQ220615,LIB-Aalborg-Vest-LT-865,,,Summer,Activated sludge,,Aalborg W,2020-08-24,35,2020,,,,,,,,,,,,,,,,
MQ220615-225,MQ220615,LIB-Aalborg-Vest-LT-871,,,Summer,Activated sludge,,Aalborg W,2020-09-14,38,2020,,,,,,,,,,,,,,,,
MQ220615-227,MQ220615,LIB-Aalborg-Vest-LT-875,,,Fall,Activated sludge,,Aalborg W,2020-09-28,40,2020,,,,,,,,,,,,,,,,
MQ220615-229,MQ220615,LIB-Aalborg-Vest-LT-881,,,Fall,Activated sludge,,Aalborg W,2020-10-19,43,2020,,,,,,,,,,,,,,,,
MQ220615-231,MQ220615,LIB-Aalborg-Vest-LT-889,,,Fall,Activated sludge,,Aalborg W,2020-11-17,47,2020,,,,,,,,,,,,,,,,
MQ220615-269,MQ220615,LIB-Aalborg-Vest-LT-893,,,Fall,Activated sludge,,Aalborg W,2020-11-30,49,2020,,,,,,,,,,,,,,,,
MQ220615-234,MQ220615,LIB-Aalborg-Vest-LT-879,,,Fall,Activated sludge,,Aalborg W,2020-12-10,50,2020,,,,,,,,,,,,,,,,
MQ220615-236,MQ220615,LIB-Aalborg-Vest-LT-899,,,Winter,Activated sludge,,Aalborg W,2020-12-22,52,2020,,,,,,,,,,,,,,,,
MQ220615-238,MQ220615,LIB-Aalborg-Vest-LT-911,,,Winter,Activated sludge,,Aalborg W,2021-01-02,53,2021,,,,,,,,,,,,,,,,
MQ220615-240,MQ220615,LIB-Aalborg-Vest-LT-907,,,Winter,Activated sludge,,Aalborg W,2021-01-18,3,2021,,,,,,,,,,,,,,,,
MQ220615-243,MQ220615,LIB-Aalborg-Vest-LT-917,,,Winter,Activated sludge,,Aalborg W,2021-02-24,8,2021,,,,,,,,,,,,,,,,
MQ220615-245,MQ220615,LIB-Aalborg-Vest-LT-937,,,Winter,Activated sludge,,Aalborg W,2021-03-05,9,2021,,,,,,,,,,,,,,,,
MQ220615-247,MQ220615,LIB-Aalborg-Vest-LT-923,,,Spring,Activated sludge,,Aalborg W,2021-03-16,11,2021,,,,,,,,,,,,,,,,
MQ220615-250,MQ220615,LIB-Aalborg-Vest-LT-903,,,Spring,Activated sludge,,Aalborg W,2021-04-01,13,2021,,,,,,,,,,,,,,,,
MQ220615-252,MQ220615,LIB-Aalborg-Vest-LT-933,,,Spring,Activated sludge,,Aalborg W,2021-04-19,16,2021,,,,,,,,,,,,,,,,
MQ220615-255,MQ220615,LIB-Aalborg-Vest-LT-943,,,Spring,Activated sludge,,Aalborg W,2021-05-27,21,2021,,,,,,,,,,,,,,,,
MQ220615-257,MQ220615,LIB-Aalborg-Vest-LT-929,,,Spring,Activated sludge,,Aalborg W,2021-06-04,22,2021,,,,,,,,,,,,,,,,
