Date	Temperature_C	inflow_m3d	SS_kgm3
05/02/2019	11.62	54005	4.01
06/02/2019	11.28	120624	4.11
07/02/2019	10.39	123336	4.59
08/02/2019	10.38	104055	4.51
09/02/2019	9.91	149581	3.92
10/02/2019	10.08	159384	3.45
11/02/2019	9.75	81990	5.23
12/02/2019	10.28	75168	5.32
13/02/2019	11.01	68056	5.51
14/02/2019	11.59	63925	5.76
15/02/2019	11.88	60397	5.67
16/02/2019	12.04	62472	5.46
17/02/2019	12.29	59906	5.24
18/02/2019	12.4	60395	5.09
19/02/2019	12.3	69118	4.98
20/02/2019	12.26	105743	4.43
21/02/2019	11.09	133522	3.96
22/02/2019	10.87	61092	6.07
23/02/2019	11.29	58685	6.19
24/02/2019	11.89	58846	6.23
25/02/2019	12.34	58252	6.09
26/02/2019	12.62	59111	6.01
27/02/2019	12.71	59366	5.96
28/02/2019	12.71	57879	5.81
