Date	Temperature_C	inflow_m3d	SS_kgm3
13/04/2018	12.29	58916	3.16
14/04/2018	12.52	58423	3.24
15/04/2018	12.55	60883	3.19
16/04/2018	12.81	58027	3.12
17/04/2018	13.07	56190	3.18
18/04/2018	13.49	56780	2.84
19/04/2018	13.9	55905	3.08
20/04/2018	14.15	56793	3.12
21/04/2018	14.1	54862	3.05
22/04/2018	14.06	56540	3.03
23/04/2018	14.03	52257	3.08
24/04/2018	13.78	55813	3.05
25/04/2018	12.72	159902	2.54
26/04/2018	12.09	132196	2.32
27/04/2018	12.2	62852	2.83
28/04/2018	13.07	61677	2.87
29/04/2018	13.57	53961	2.99
30/04/2018	13.82	97857	2.8
01/05/2018	13.28	64434	2.75
02/05/2018	13.6	55067	2.96
03/05/2018	13.93	53233	2.98
04/05/2018	14.18	52140	3.02
05/05/2018	14.54	50690	3.07
06/05/2018	14.91	52247	3.14
07/05/2018	15.25	52100	3.13
08/05/2018	15.5	52191	3.13
09/05/2018	15.74	50516	3.09
10/05/2018	15.93	61041	2.91
11/05/2018	15.86	47871	3.08
12/05/2018	15.87	47736	3.13
13/05/2018	16.01	48761	3.19
14/05/2018	16.28	49722	3.19
15/05/2018	16.46	48645	3.33
16/05/2018	16.7	49140	3.49
17/05/2018	16.86	48685	3.57
18/05/2018	16.96	49546	3.49
19/05/2018	16.72	57046	3.41
20/05/2018	16.71	45624	3.42
21/05/2018	16.6	47836	3.36
22/05/2018	16.82	47912	3.31
23/05/2018	17.18	48374	3.34
24/05/2018	17.43	46409	3.14
25/05/2018	17.57	46219	3.75
26/05/2018	17.52	87313	3.66
27/05/2018	17.63	46436	4.19
28/05/2018	17.15	110684	3.36
29/05/2018	17.55	48063	4.43
30/05/2018	18.05	47404	4.56
31/05/2018	18.24	45935	4.84
01/06/2018	18.53	45975	5.03
02/06/2018	18.82	44562	5.15
03/06/2018	19.15	45315	5.09
04/06/2018	19.27	45323	4.96
05/06/2018	19.15	45968	5.14
06/06/2018	19.06	44835	5.15
07/06/2018	19.11	45440	5.35
08/06/2018	19.31	44244	5.55
09/06/2018	19.47	42416	5.35
10/06/2018	19.33	43692	5.19
11/06/2018	18.87	42862	5.21
12/06/2018	18.93	46618	4.98
13/06/2018	18.96	43645	5.14
14/06/2018	19.05	44175	5.14
15/06/2018	19.26	42807	5.02
16/06/2018	19.11	81847	4.5
17/06/2018	18.86	101750	4.7
18/06/2018	18.99	39956	5.43
19/06/2018	19.07	47803	5.36
20/06/2018	19.15	43165	5.29
21/06/2018	18.71	60684	5.16
22/06/2018	16.8	175490	3.34
23/06/2018	16.3	42806	4.56
24/06/2018	17.28	43544	4.4
25/06/2018	18.18	43575	4.15
26/06/2018	18.97	43648	3.84
27/06/2018	19.48	43087	3.93
28/06/2018	19.88	42826	4.14
29/06/2018	19.99	42350	3.94
30/06/2018	19.87	39766	3.9
01/07/2018	19.82	40339	3.84
02/07/2018	19.76	40766	3.84
03/07/2018	19.96	40727	4.19
04/07/2018	20.31	38814	4.3
05/07/2018	19.85	40279	4.43
06/07/2018	19.79	38361	4.45
07/07/2018	20.07	36959	4.21
08/07/2018	20.43	37857	4.09
09/07/2018	20.25	37689	4.01
10/07/2018	20.06	58849	3.83
11/07/2018	20.29	37749	4.41
12/07/2018	20.68	37454	4.22
13/07/2018	20.92	37850	4.28
14/07/2018	20.78	35471	4.26
15/07/2018	20.81	35656	4.24
16/07/2018	21.13	35982	4.18
17/07/2018	20.92	55186	4.43
18/07/2018	20.63	67221	4.6
19/07/2018	20.61	35898	4.48
20/07/2018	20.72	34737	4.35
21/07/2018	20.92	33480	4
22/07/2018	21.08	33946	3.85
23/07/2018	21.15	34867	3.75
24/07/2018	21.6	36308	3.6
25/07/2018	21.91	36329	3.57
26/07/2018	21.96	35952	3.38
27/07/2018	22.13	36021	3.34
28/07/2018	22.28	37194	3.04
29/07/2018	22.15	35773	3.39
30/07/2018	22.16	37149	3.42
31/07/2018	22.19	36989	3.41
01/08/2018	21.71	104296	3.54
02/08/2018	21.86	36982	4
03/08/2018	22.1	37698	3.86
04/08/2018	22.1	39379	3.77
05/08/2018	21.5	37503	3.7
06/08/2018	21.39	38668	3.63
07/08/2018	21.68	39515	3.59
08/08/2018	21.85	40187	3.57
