Genus,Alternative names,Kingdom,Phylum,Class,Order,Family,AOB:In situ,AOB:Other,NOB:In situ,NOB:Other,Anammox:In situ,Anammox:Other,Aerobic heterotroph:In situ,Aerobic heterotroph:Other,PAO:In situ,PAO:Other,GAO:In situ,GAO:Other,Nitrite reduction:In situ,Nitrite reduction:Other,Sulfate reduction:In situ,Sulfate reduction:Other,Fermentation:In situ,Fermentation:Other,Acetogen:In situ,Acetogen:Other,Methanogen:In situ,Methanogen:Other,Short-chain fatty acids:In situ,Short-chain fatty acids:Other,Sugars:In situ,Sugars:Other,Proteins/amino acids:In situ,Proteins/amino acids:Other,Filamentous:In situ,Filamentous:Other,Hydrophobic cell surface:In situ,Hydrophobic cell surface:Other
g__Blastocatella,AK1DE1,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,neg,na,neg,na,na,na,na,na,neg,na,var,na,pos,na,var,na,na
g__Limnobacter,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,var,na,neg,na,pos,na,neg,na,pos
g__Nannocystis,"",Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,pos,na,neg,na,na
g__Brachymonas,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,neg,na,na,na,na,na,na
g__Pedomicrobium,"",Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,na
g__Phaeodactylibacter,"",Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,var,na,neg,na,pos,na,na,na,na,na,na,na,neg,na,na,na,na,na,na
g__SC103,"",Bacteria,Thermotogota,Thermotogae,Petrotogales,Petrotogaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Phenylobacterium,"",Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,var,na,var,na,var,na,na,na,na
g__Acinetobacter,Eikelboom Type 1863,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,na,na,na,na,na,na,pos,pos,neg,neg,neg,neg,na,na,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,var,var,na,pos
g__Caenimonas,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
