Sample,SeqRun,LibID,Read_no,ID,Line,Mean,Plant,Date,Week,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ190702-170,MQ190702,LIB-Aalborg-W-LT-655,46694,"",pre-S::Select,"",Aalborg W,2018-12-13,50,2018,Fall,"","","","","","",,,,,,,,,
MQ190702-171,MQ190702,LIB-Aalborg-W-LT-657,51618,"",pre-S::Select,"",Aalborg W,2018-12-18,51,2018,Winter,"","","","","","",,,,,,,,,
MQ190702-172,MQ190702,LIB-Aalborg-W-LT-659,1160,"",pre-S::Select,"",Aalborg W,2018-12-21,51,2018,Winter,"","","","","","",,,,,,,,,
MQ190702-173,MQ190702,LIB-Aalborg-W-LT-661,72153,"",pre-S::Select,"",Aalborg W,2019-01-03,1,2019,Winter,"","","","","","",,,,,,,,,
MQ190702-174,MQ190702,LIB-Aalborg-W-LT-663,62943,"",pre-S::Select,"",Aalborg W,2019-01-08,2,2019,Winter,"","","","","","",,,,,,,,,
MQ190702-178,MQ190702,LIB-Aalborg-W-LT-665,27587,"",pre-S::Select,"",Aalborg W,2019-01-11,2,2019,Winter,"","","","","","",,,,,,,,,
MQ190702-179,MQ190702,LIB-Aalborg-W-LT-667,22791,"",pre-S::Select,"",Aalborg W,2019-01-15,3,2019,Winter,"","","","","","",,,,,,,,,
MQ190702-180,MQ190702,LIB-Aalborg-W-LT-669,34564,"",pre-S::Select,"",Aalborg W,2019-01-18,3,2019,Winter,"","","","","","",,,,,,,,,
MQ190702-181,MQ190702,LIB-Aalborg-W-LT-671,29641,"",pre-S::Select,"",Aalborg W,2019-01-22,4,2019,Winter,"","","","","","",,,,,,,,,
MQ190702-182,MQ190702,LIB-Aalborg-W-LT-673,21250,"",pre-S::Select,"",Aalborg W,2019-01-25,4,2019,Winter,"","","","","","",,,,,,,,,
MQ190702-183,MQ190702,LIB-Aalborg-W-LT-675,28325,"",pre-S::Select,"",Aalborg W,2019-01-29,5,2019,Winter,"","","","","","",,,,,,,,,
MQ190702-184,MQ190702,LIB-Aalborg-W-LT-677,33127,"",pre-S::Select,"",Aalborg W,2019-02-01,5,2019,Winter,"","","","","","",,,,,,,,,
MQ190702-185,MQ190702,LIB-Aalborg-W-LT-679,28820,"",pre-S::Select,"",Aalborg W,2019-02-05,6,2019,Winter,"","","","","","",,,,,,,,,
MQ190702-186,MQ190702,LIB-Aalborg-W-LT-681,57597,"",pre-S::Select,"",Aalborg W,2019-02-08,6,2019,Winter,"","","","","","",,,,,,,,,
MQ190702-187,MQ190702,LIB-Aalborg-W-LT-683,46125,"",pre-S::Select,"",Aalborg W,2019-02-12,7,2019,Winter,"","","","","","",,,,,,,,,
MQ190702-188,MQ190702,LIB-Aalborg-W-LT-685,63203,"",pre-S::Select,"",Aalborg W,2019-02-15,7,2019,Winter,"","","","","","",,,,,,,,,
MQ190702-189,MQ190702,LIB-Aalborg-W-LT-687,56526,"",pre-S::Select,"",Aalborg W,2019-02-19,8,2019,Winter,"","","","","","",,,,,,,,,
MQ190702-190,MQ190702,LIB-Aalborg-W-LT-689,45968,"",pre-S::Select,"",Aalborg W,2019-02-21,8,2019,Winter,"","","","","","",,,,,,,,,
MQ190702-191,MQ190702,LIB-Aalborg-W-LT-691,55010,"",pre-S::Select,"",Aalborg W,2019-02-28,9,2019,Winter,"","","","","","",,,,,,,,,
MQ190702-192,MQ190702,LIB-Aalborg-W-LT-693,68648,"",pre-S::Select,"",Aalborg W,2019-03-05,10,2019,Winter,"","","","","","",,,,,,,,,
MQ190702-193,MQ190702,LIB-Aalborg-W-LT-695,62476,"",pre-S::Select,"",Aalborg W,2019-03-08,10,2019,Winter,"","","","","","",,,,,,,,,
MQ190702-194,MQ190702,LIB-Aalborg-W-LT-697,66902,"",pre-S::Select,"",Aalborg W,2019-03-12,11,2019,Winter,"","","","","","",,,,,,,,,
MQ190702-195,MQ190702,LIB-Aalborg-W-LT-699,51740,"",pre-S::Select,"",Aalborg W,2019-03-15,11,2019,Spring,"","","","","","",,,,,,,,,
MQ190702-196,MQ190702,LIB-Aalborg-W-LT-701,70943,"",pre-S::Select,"",Aalborg W,2019-03-19,12,2019,Spring,"","","","","","",,,,,,,,,
MQ190702-197,MQ190702,LIB-Aalborg-W-LT-703,1171,"",pre-S::Select,"",Aalborg W,2019-03-22,12,2019,Spring,"","","","","","",,,,,,,,,
MQ190702-198,MQ190702,LIB-Aalborg-W-LT-705,47186,"",pre-S::Select,"",Aalborg W,2019-03-26,13,2019,Spring,"","","","","","",,,,,,,,,
MQ200420-66,MQ200420,LIB-AalborgW-LT-721,40105,"",pre-S::Select,"",Aalborg W,2019-03-28,13,2019,Spring,"","","","","","",,,,,,,,,
MQ200420-67,MQ200420,LIB-AalborgW-LT-723,47365,"",pre-S::Select,"",Aalborg W,2019-04-01,14,2019,Spring,"","","","","","",,,,,,,,,
MQ200420-69,MQ200420,LIB-AalborgW-LT-727,45644,"",pre-S::Select,"",Aalborg W,2019-04-09,15,2019,Spring,"","","","","","",,,,,,,,,
MQ200420-70,MQ200420,LIB-AalborgW-LT-729,47858,"",pre-S::Select,"",Aalborg W,2019-04-15,16,2019,Spring,"","","","","","",,,,,,,,,
MQ200420-71,MQ200420,LIB-AalborgW-LT-731,47157,"",pre-S::Select,"",Aalborg W,2019-04-24,17,2019,Spring,"","","","","","",,,,,,,,,
MQ200420-72,MQ200420,LIB-AalborgW-LT-733,44247,"",pre-S::Select,"",Aalborg W,2019-04-30,18,2019,Spring,"","","","","","",,,,,,,,,
MQ200420-73,MQ200420,LIB-AalborgW-LT-735,46132,"",pre-S::Select,"",Aalborg W,2019-05-03,18,2019,Spring,"","","","","","",,,,,,,,,
MQ200420-74,MQ200420,LIB-AalborgW-LT-737,35616,"",pre-S::Select,"",Aalborg W,2019-05-07,19,2019,Spring,"","","","","","",,,,,,,,,
MQ200420-75,MQ200420,LIB-AalborgW-LT-739,40345,"",pre-S::Select,"",Aalborg W,2019-05-16,20,2019,Spring,"","","","","","",,,,,,,,,
MQ200420-76,MQ200420,LIB-AalborgW-LT-741,38564,"",pre-S::Select,"",Aalborg W,2019-05-21,21,2019,Spring,"","","","","","",,,,,,,,,
MQ200420-77,MQ200420,LIB-AalborgW-LT-743,39113,"",pre-S::Select,"",Aalborg W,2019-05-28,22,2019,Spring,"","","","","","",,,,,,,,,
MQ200420-80,MQ200420,LIB-AalborgW-LT-749,43204,"",pre-S::Select,"",Aalborg W,2019-06-18,25,2019,Summer,"","","","","","",,,,,,,,,
MQ200420-81,MQ200420,LIB-AalborgW-LT-751,41555,"",pre-S::Select,"",Aalborg W,2019-06-26,26,2019,Summer,"","","","","","",,,,,,,,,
