Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ181116-204,MQ181116,LIB-Fredericia-LT-301,,Fredericia-LT-301,Winter,LT,AS,"",Fredericia,2018-01-31,5,2018,,"","","","","","",,,,,,,42.58389908,4.688654841,,,"",,
MQ181116-205,MQ181116,LIB-Fredericia-LT-305,,Fredericia-LT-305,Winter,LT,AS,"",Fredericia,2018-02-07,6,2018,,"","","","","","",,,,,,,36.24993981,1.95,,,"",,
MQ181116-206,MQ181116,LIB-Fredericia-LT-311,,Fredericia-LT-311,Winter,LT,AS,"",Fredericia,2018-02-14,7,2018,,"","","","","","",,,,,,,37.41513795,8.462675536,,,"",,
MQ181116-207,MQ181116,LIB-Fredericia-LT-313,,Fredericia-LT-313,Winter,LT,AS,"",Fredericia,2018-02-19,8,2018,,"","","","","","",,,,,,,45.1791131,9.07936068,,,"",,
MQ181116-208,MQ181116,LIB-Fredericia-LT-388,,Fredericia-LT-388,Winter,LT,AS,"",Fredericia,2018-03-12,11,2018,,"","","","","","",,,,,,,41.63296259,7.444105691,,,"",,
MQ181116-209,MQ181116,LIB-Fredericia-LT-390,,Fredericia-LT-390,Spring,LT,AS,"",Fredericia,2018-03-19,12,2018,,"","","","","","",,,,,,,56.20636526,5.148281596,,,"",,
MQ181116-210,MQ181116,LIB-Fredericia-LT-392,,Fredericia-LT-392,Spring,LT,AS,"",Fredericia,2018-03-26,13,2018,,"","","","","","",,,,,,,57.12480139,6.253464523,,,"",,
MQ181116-211,MQ181116,LIB-Fredericia-LT-394,,Fredericia-LT-394,Spring,LT,AS,"",Fredericia,2018-04-05,14,2018,,"","","","","","",,,,,,,47.67080745,5.998244642,,,"",,
MQ181116-212,MQ181116,LIB-Fredericia-LT-316,,Fredericia-LT-316,Spring,LT,AS,"",Fredericia,2018-04-12,15,2018,,"","","","","","",,,,,,,41.51138716,3.771711013,,,"",,
MQ181116-213,MQ181116,LIB-Fredericia-LT-318,,Fredericia-LT-318,Spring,LT,AS,"",Fredericia,2018-05-07,19,2018,,"","","","","","",,,,,,,31.4278492,4.839939024,,,"",,
MQ181116-230,MQ181116,LIB-Fredericia-LT-320,,Fredericia-LT-320,Spring,LT,AS,"",Fredericia,2018-05-15,20,2018,,"","","","","","",,,,,,,,3.816749275,,,"",,
MQ181116-216,MQ181116,LIB-Fredericia-LT-322,,Fredericia-LT-322,Spring,LT,AS,"",Fredericia,2018-05-22,21,2018,,"","","","","","",,,,,,,26.52132885,3.906761433,,,"",,
MQ181116-217,MQ181116,LIB-Fredericia-LT-324,,Fredericia-LT-324,Spring,LT,AS,"",Fredericia,2018-05-29,22,2018,,"","","","","","",,,,,,,28.24650971,2.971570186,,,"",,
