Genus,MiDAS,Filamentous,Hydrophobic cell surface,Chemoautotroph_mixotroph,AOB,NOB,Anammox,Aerobic heterotroph,PAO,GAO,Nitrite reduction,Sulfate reduction,Fermentation,Acetogen,Methanogen,Short-chain fatty acids,Sugars,Proteins_amino acids
Enterococcus,POS,VAR,VAR,NT,NT,NT,NT,POS,NT,NT,NT,NT,POS,NT,NT,POS,POS,POS
Subgroup 10,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
AAP99,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Haliscomenobacter,POS,POS,NEG,NT,NT,NT,NT,POS,NEG,NEG,NEG,NT,NEG,NT,NT,NEG,POS,NEG
midas_g_225,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Ca_Brevefilum,POS,POS,NT,NEG,NT,NT,NT,NEG,NT,NT,NT,NEG,POS,NT,NT,NT,NT,NT
Novosphingobium,POS,NEG,NT,NT,NT,NT,NT,POS,NT,NT,NEG,NT,NEG,NT,NT,POS,POS,POS
Aquabacterium,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NEG,NT,NT,POS,VAR,VAR
Bradyrhizobium,POS,NEG,VAR,VAR,NT,NT,NT,POS,NT,NT,POS,NT,POS,NT,NT,NT,POS,NT
Pelotomaculum,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NEG,VAR,NT,NT,POS,NT,NT
Ideonella,POS,NT,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,NT,NT,NT,POS,POS,POS
midas_g_268,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Ellin6067,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Iamia,POS,NEG,NT,NT,NT,NT,NT,POS,NT,NT,POS,NT,NT,NT,NT,NEG,NEG,NT
Micropruina,POS,NEG,NT,NT,NT,NT,NT,POS,NEG,POS,VAR,NT,POS,NT,NT,POS,POS,POS
Tessaracoccus,POS,NEG,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,VAR,NT,NT,POS,POS,POS
midas_g_321,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Aestuariimicrobium,POS,NT,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,VAR,NT,NT,NT,POS,NT
Saccharofermentans,POS,NT,NT,NT,NT,NT,NT,NEG,NT,NT,NT,NEG,POS,NT,NT,NT,POS,NT
midas_g_344,POS,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Subdoligranulum,POS,NEG,NT,NT,NT,NT,NT,NEG,NT,NT,NT,NT,POS,NT,NT,NT,POS,NT
midas_g_351,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Nocardioides,POS,VAR,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,VAR,NT,NT,NT,POS,POS
midas_g_363,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Denitratisoma,POS,NT,NT,NT,NT,NT,NT,POS,NT,NT,NT,NEG,NT,NT,NT,POS,NEG,NT
