Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ221130-171,MQ221130,LIB-OdenseNV-LT-790,,"",Spring,LT,AS,Activated sludge,Odense NV,2021-03-23,12,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-172,MQ221130,LIB-OdenseNV-LT-792,,"",Spring,LT,AS,Activated sludge,Odense NV,2021-04-14,15,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-174,MQ221130,LIB-OdenseNV-LT-796,,"",Spring,LT,AS,Activated sludge,Odense NV,2021-04-27,17,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-175,MQ221130,LIB-OdenseNV-LT-798,,"",Spring,LT,AS,Activated sludge,Odense NV,2021-05-04,18,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-176,MQ221130,LIB-OdenseNV-LT-800,,"",Spring,LT,AS,Activated sludge,Odense NV,2021-05-11,19,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-177,MQ221130,LIB-OdenseNV-LT-802,,"",Spring,LT,AS,Activated sludge,Odense NV,2021-05-18,20,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-178,MQ221130,LIB-OdenseNV-LT-804,,"",Spring,LT,AS,Activated sludge,Odense NV,2021-05-25,21,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-179,MQ221130,LIB-OdenseNV-LT-806,,"",Spring,LT,AS,Activated sludge,Odense NV,2021-06-01,22,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-180,MQ221130,LIB-OdenseNV-LT-808,,"",Spring,LT,AS,Activated sludge,Odense NV,2021-06-08,23,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-181,MQ221130,LIB-OdenseNV-LT-810,,"",Summer,LT,AS,Activated sludge,Odense NV,2021-06-16,24,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-182,MQ221130,LIB-OdenseNV-LT-812,,"",Summer,LT,AS,Activated sludge,Odense NV,2021-06-22,25,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-183,MQ221130,LIB-OdenseNV-LT-814,,"",Summer,LT,AS,Activated sludge,Odense NV,2021-07-02,26,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-184,MQ221130,LIB-OdenseNV-LT-816,,"",Summer,LT,AS,Activated sludge,Odense NV,2021-07-08,27,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-185,MQ221130,LIB-OdenseNV-LT-818,,"",Summer,LT,AS,Activated sludge,Odense NV,2021-07-20,29,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-186,MQ221130,LIB-OdenseNV-LT-820,,"",Summer,LT,AS,Activated sludge,Odense NV,2021-07-29,30,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-187,MQ221130,LIB-OdenseNV-LT-822,,"",Summer,LT,AS,Activated sludge,Odense NV,2021-08-05,31,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-188,MQ221130,LIB-OdenseNV-LT-824,,"",Summer,LT,AS,Activated sludge,Odense NV,2021-08-10,32,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-189,MQ221130,LIB-OdenseNV-LT-826,,"",Summer,LT,AS,Activated sludge,Odense NV,2021-08-17,33,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-190,MQ221130,LIB-OdenseNV-LT-828,,"",Summer,LT,AS,Activated sludge,Odense NV,2021-08-23,34,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-191,MQ221130,LIB-OdenseNV-LT-830,,"",Summer,LT,AS,Activated sludge,Odense NV,2021-08-31,35,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-192,MQ221130,LIB-OdenseNV-LT-832,,"",Summer,LT,AS,Activated sludge,Odense NV,2021-09-07,36,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-193,MQ221130,LIB-OdenseNV-LT-834,,"",Fall,LT,AS,Activated sludge,Odense NV,2021-09-21,38,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-194,MQ221130,LIB-OdenseNV-LT-836,,"",Fall,LT,AS,Activated sludge,Odense NV,2021-09-29,39,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-195,MQ221130,LIB-OdenseNV-LT-838,,"",Fall,LT,AS,Activated sludge,Odense NV,2021-10-07,40,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-196,MQ221130,LIB-OdenseNV-LT-840,,"",Fall,LT,AS,Activated sludge,Odense NV,2021-10-14,41,2021,,"","","","","","",,,,,,,,,,,"",,
