Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ190919-176,MQ190919,LIB-Damhusaen-LT-C-135,,"",Fall,C,AS,mean,Damhusåen-C,2018-11-20,47,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-177,MQ190919,LIB-Damhusaen-LT-C-136,,"",Fall,C,AS,mean,Damhusåen-C,2018-11-22,47,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-178,MQ190919,LIB-Damhusaen-LT-C-137,,"",Fall,C,AS,mean,Damhusåen-C,2018-11-27,48,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-179,MQ190919,LIB-Damhusaen-LT-C-138,,"",Fall,C,AS,mean,Damhusåen-C,2018-12-04,49,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-180,MQ190919,LIB-Damhusaen-LT-C-139,,"",Fall,C,AS,mean,Damhusåen-C,2018-12-06,49,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-181,MQ190919,LIB-Damhusaen-LT-C-140,,"",Fall,C,AS,mean,Damhusåen-C,2018-12-10,50,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-182,MQ190919,LIB-Damhusaen-LT-C-141,,"",Winter,C,AS,mean,Damhusåen-C,2018-12-18,51,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-183,MQ190919,LIB-Damhusaen-LT-C-142,,"",Winter,C,AS,mean,Damhusåen-C,2018-12-20,51,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-184,MQ190919,LIB-Damhusaen-LT-C-143,,"",Winter,C,AS,mean,Damhusåen-C,2019-01-04,1,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-185,MQ190919,LIB-Damhusaen-LT-C-144,,"",Winter,C,AS,mean,Damhusåen-C,2019-01-07,2,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-186,MQ190919,LIB-Damhusaen-LT-C-145,,"",Winter,C,AS,mean,Damhusåen-C,2019-01-10,2,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-187,MQ190919,LIB-Damhusaen-LT-C-146,,"",Winter,C,AS,mean,Damhusåen-C,2019-01-14,3,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-188,MQ190919,LIB-Damhusaen-LT-C-147,,"",Winter,C,AS,mean,Damhusåen-C,2019-01-17,3,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-189,MQ190919,LIB-Damhusaen-LT-C-148,,"",Winter,C,AS,mean,Damhusåen-C,2019-01-24,4,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-190,MQ190919,LIB-Damhusaen-LT-C-149,,"",Winter,C,AS,mean,Damhusåen-C,2019-01-31,5,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-191,MQ190919,LIB-Damhusaen-LT-C-150,,"",Winter,C,AS,mean,Damhusåen-C,2019-02-07,6,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-192,MQ190919,LIB-Damhusaen-LT-C-151,,"",Winter,C,AS,mean,Damhusåen-C,2019-02-14,7,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-193,MQ190919,LIB-Damhusaen-LT-C-152,,"",Winter,C,AS,mean,Damhusåen-C,2019-02-28,9,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-194,MQ190919,LIB-Damhusaen-LT-C-153,,"",Winter,C,AS,mean,Damhusåen-C,2019-03-08,10,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-198,MQ190919,LIB-Damhusaen-LT-C-157,,"",Spring,C,AS,mean,Damhusåen-C,2019-03-29,13,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-199,MQ190919,LIB-Damhusaen-LT-C-158,,"",Spring,C,AS,mean,Damhusåen-C,2019-04-05,14,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-200,MQ190919,LIB-Damhusaen-LT-C-159,,"",Spring,C,AS,mean,Damhusåen-C,2019-04-09,15,2019,,"","","","","","",,,,,,,,,,,"",,
MQ181023-217,MQ181023,LIB-BB-Dam-C-20180312,,Dam-C-20180312,Winter,C,AS,mean,Damhusåen-C,2018-03-12,11,2018,,"","","","","","",,,,,,,17.86582697,16.49417176,,,"",,
MQ181023-218,MQ181023,LIB-BB-Dam-C-20180316,,Dam-C-20180316,Spring,C,AS,mean,Damhusåen-C,2018-03-16,11,2018,,"","","","","","",,,,,,,14.71696737,6.459411426,,,"",,
MQ181023-219,MQ181023,LIB-BB-Dam-C-20180320,,Dam-C-20180320,Spring,C,AS,mean,Damhusåen-C,2018-03-20,12,2018,,"","","","","","",,,,,,,16.93454263,6.034708065,,,"",,
MQ181023-220,MQ181023,LIB-BB-Dam-C-20180323,,Dam-C-20180323,Spring,C,AS,mean,Damhusåen-C,2018-03-23,12,2018,,"","","","","","",,,,,,,20.19768516,7.310124928,,,"",,
MQ181023-221,MQ181023,LIB-BB-Dam-C-20180328,,Dam-C-20180328,Spring,C,AS,mean,Damhusåen-C,2018-03-28,13,2018,,"","","","","","",,,,,,,16.06526285,8.775024829,,,"",,
MQ181023-222,MQ181023,LIB-BB-Dam-C-20180403,,Dam-C-20180403,Spring,C,AS,mean,Damhusåen-C,2018-04-03,14,2018,,"","","","","","",,,,,,,15.48776929,9.698917987,,,"",,
MQ181023-223,MQ181023,LIB-BB-Dam-C-20180406,,Dam-C-20180406,Spring,C,AS,mean,Damhusåen-C,2018-04-06,14,2018,,"","","","","","",,,,,,,19.95331421,11.96356699,,,"",,
