																																	
																																	
	Rapportperiode: 01-01-2016  -  01-05-2017																																
															Ejby Mølle Renseanlæg																		
																																	
	Kontaktfilterrapport: januar 2016																																
																																	
																																	
																																	
																																	
			Tilløb Kontaktfilter				Udløb Kontaktfilter							Skyllevand Kontaktfilter					Jern Kontaktfilter			Flow fra BF2				Slamvand Fra Kontaktfilter				KWH Kontaktfilter			
			Flow	Max time		Min time	Flow		Max time	Min time				Flow		Max time		Min time	Flow	Max time	Min time	Flow	Max time	Min time		Flow		Max time	Min time	KWH	Max time		Min time
Dato			m³	m³		m³	m³		m³	m³				m³		m³		m³	l	l	l	m³	m³	m³		m³		m³	m³	kWh	kW		kW
09 nov  ons			44400				40700							2390					312			10400	0	0		2711				2760			
10 nov  tor			46000				45500							0					0			0	0	0		0				1761			
11 nov  fre			42800				42500							0					0			0	0	0		0				1668			
12 nov  lør			36900				36300							0					0			0	0	0		0				1486			
13 nov  søn			36200				35700							0					0			0	0	0		0				1512			
14 nov  man			46900				43000							2670					337			13700	0	0		3010				2888			
15 nov  tir			42000				41500							0					0			0	0	0		0				1660			
16 nov  ons			44800				42000							2270					60			3600	0	0		2170				2419			
17 nov  tor			52000				46500							4270					542			25000	0	0		4740				3778			
18 nov  fre			59200				51200							6580					847			42100	0	0		7320				4924			
19 nov  lør			51000				44400							5760					357			8900	0	0		5260				3690			
20 nov  søn			55700				51000							4930					385			22700	0	0		4450				3699			
21 nov  man			52000				47600							5160					126			3800	0	0		3890				3081			
22 nov  tir			45900				45300							0					0			0	0	0		0				1765			
23 nov  ons			43600				43000							0					0			0	0	0		0				1679			
24 nov  tor			41900				41100							0					0			0	0	0		0				1653			
25 nov  fre			40900				40200							0					0			0	0	0		0				1587			
26 nov  lør			39100				38400							0					0			0	0	0		0				1515			
27 nov  søn			37100				36600							0					0			0	0	0		0				1472			
28 nov  man			38800				38100							0					0			0	0	0		0				1520			
29 nov  tir			40000				39400							0					0			0	0	0		0				1555			
30 nov  ons			48400				45700							2220					164			4900	0	0		2230				2561			
01 dec  tor			43200				40500							2600					141			4700	0	0		2180				2387			
02 dec  fre			38300				37500							0					0			0	0	0		0				1528			
03 dec  lør			36200				35400							0					0			0	0	0		0				1431			
04 dec  søn			35700				35200							0					0			0	0	0		0				1429			
05 dec  man			38500				37800							0					0			0	0	0		0				1507			
06 dec  tir			37500				36700							0					0			0	0	0		0				1501			
07 dec  ons			45100				42400							2240					175			9500	0	0		2240				2517			
08 dec  tor			2500				2000							2040					0			0	0	0		1110				1006			
09 dec  fre			37100				32500							2300					214			6700	0	0		2450				2551			
10 dec  lør			48200				42900							5760					171			5100	0	0		4350				3098			
11 dec  søn			47300				43800							3240					202			6400	0	0		2920				2865			
12 dec  man			43400				39300							5420					0			0	0	0		3310				2429			
13 dec  tir			39800				38900							430					0			0	0	0		140				1626			
14 dec  ons			38600				37700							0					0			0	0	0		0				1493			
15 dec  tor			38100				37300							0					0			0	0	0		0				1513			
16 dec  fre			37400				36600							0					0			0	0	0		0				1498			
17 dec  lør			40100				38500							1110					10			400	0	0		730				1770			
18 dec  søn			36700				35400							940					0			0	0	0		690				1577			
19 dec  man			37800				36900							0					0			0	0	0		0				1468			
20 dec  tir			37300				36400							0					0			0	0	0		0				1497			
21 dec  ons			37500				36700							0					0			0	0	0		0				1486			
22 dec  tor			43600				41500							1300					163			7100	0	0		1460				2200			
23 dec  fre			52300				48000							3530					305			14900	0	0		3550				3230			
24 dec  lør			54900				50600							5340					127			5100	0	0		3880				3122			
25 dec  søn			44100				41400							2240					164			6300	0	0		2130				2356			
26 dec  man			47700				43100							5310					147			3200	0	0		3820				2914			
27 dec  tir			36700				36000							0					0			0	0	0		0				1409			
28 dec  ons			36500				36000							0					0			0	0	0		0				1428			
29 dec  tor			36700				35900							0					0			0	0	0		0				1425			
30 dec  fre			37200				36500							0					0			0	0	0		0				1421			
31 dec  lør			38100				37300							0					0			0	0	0		0				1461			
01 jan  søn			52400				47600							4810					350			19300	0	0		4390				3317			
02 jan  man			39000				38300							0					0			0	0	0		0				1480			
03 jan  tir			45500				41600							2600					324			12300	0	0		2910				2833			
04 jan  ons			41000				40600							0					0			0	0	0		0				1560			
05 jan  tor			36700				36000							0					0			0	0	0		0				1482			
06 jan  fre			37100				36200							0					0			0	0	0		0				1489			
07 jan  lør			39900				39300							0					0			0	0	0		0				1540			
08 jan  søn			35500				34900							0					0			0	0	0		0				1366			
09 jan  man			40600				39900							0					0			0	0	0		0				1547			
10 jan  tir			38700				38000							0					0			0	0	0		80				1585			
11 jan  ons			55800				48500							5940					748			35900	0	0		6460				4513			
12 jan  tor			50500				45800							4460					296			9000	0	0		3850				3170			
13 jan  fre			44500				43900							0					0			0	0	0		0				1651			
14 jan  lør			42000				41500							0					0			0	0	0		0				1581			
15 jan  søn			39400				38700							0					0			0	0	0		0				1505			
16 jan  man			39600				38900							0					0			0	0	0		0				1525			
17 jan  tir			39100				38600							0					0			0	0	0		0				1529			
18 jan  ons			39500				38800							0					0			0	0	0		0				1530			
19 jan  tor			40900				40300							0					0			0	0	0		0				1583			
20 jan  fre			39000				38300							0					0			0	0	0		0				1508			
21 jan  lør			37700				36900							60					0			0	0	0		130				1498			
