																																	
																																	
																																	
	Rapportperiode: 01-01-2016  -  01-05-2017														Ejby Mølle Renseanlæg																		
																																	
	Drifttimer Luftningstank 2: januar 2016																																
																																	
																																	
																																	
																																	
			LT-RO1.2			LT-RO2.2			LT-RO3.2				LT-RO4.2					LT-RO5.2		LT-RO6.2		LT-OM1.2		LT-OM2.2			LT-OM3.2			LT-OM4.2			
			"Rotor
 Drifttimer"			"Rotor
 Drifttimer"			"Rotor
 Drifttimer"				"Rotor
 Drifttimer"					"Rotor 
Drifttimer"		"Rotor 
Drifttimer"		Omrører Drifttimer		Omrører Drifttimer			Omrører Drifttimer			Omrører Drifttimer			
Dato			Total h	Døgn h		Total h	Døgn h		 Total h	Døgn h			Total h			Døgn h		 Total h	Døgn h	Total h	 Døgn h	Total h	Døgn h	Total h		Døgn h	Total h	Døgn h		Total h	Døgn h		
15 maj  søn			94671	8.0		92027	8.0		57680	3.0			57546			3.0		88796	8.0	89098	7.0	42740	12.0	51573		0.0	51012	5.0		51810	7.0		
16 maj  man			94680	9.0		92036	9.0		57683	3.0			57549			3.0		88803	7.0	89106	8.0	42750	10.0	51573		0.0	51018	6.0		51815	5.0		
17 maj  tir			94689	9.0		92045	9.0		57686	3.0			57552			3.0		88812	9.0	89113	7.0	42761	11.0	51573		0.0	51023	5.0		51821	6.0		
18 maj  ons			94698	9.0		92053	8.0		57693	7.0			57559			7.0		88821	9.0	89122	9.0	42771	10.0	51573		0.0	51028	5.0		51826	5.0		
19 maj  tor			94707	9.0		92063	10.0		57702	9.0			57568			9.0		88830	9.0	89131	9.0	42780	9.0	51573		0.0	51032	4.0		51831	5.0		
20 maj  fre			94717	10.0		92073	10.0		57708	6.0			57574			6.0		88840	10.0	89141	10.0	42790	10.0	51573		0.0	51037	5.0		51836	5.0		
21 maj  lør			94727	10.0		92083	10.0		57714	6.0			57579			5.0		88850	10.0	89151	10.0	42799	9.0	51573		0.0	51041	4.0		51841	5.0		
22 maj  søn			94735	8.0		92090	7.0		57717	3.0			57582			3.0		88857	7.0	89157	6.0	42813	14.0	51573		0.0	51048	7.0		51847	6.0		
23 maj  man			94742	7.0		92097	7.0		57723	6.0			57587			5.0		88864	7.0	89164	7.0	42825	12.0	51573		0.0	51054	6.0		51853	6.0		
24 maj  tir			94749	7.0		92105	8.0		57730	7.0			57594			7.0		88872	8.0	89172	8.0	42836	11.0	51573		0.0	51059	5.0		51859	6.0		
25 maj  ons			94758	9.0		92113	8.0		57735	5.0			57599			5.0		88880	8.0	89180	8.0	42847	11.0	51573		0.0	51065	6.0		51864	5.0		
26 maj  tor			94766	8.0		92122	9.0		57739	4.0			57604			5.0		88888	8.0	89188	8.0	42858	11.0	51573		0.0	51070	5.0		51870	6.0		
27 maj  fre			94774	8.0		92129	7.0		57744	5.0			57609			5.0		88896	8.0	89195	7.0	42870	12.0	51573		0.0	51076	6.0		51877	7.0		
28 maj  lør			94781	7.0		92137	8.0		57747	3.0			57612			3.0		88903	7.0	89202	7.0	42882	12.0	51573		0.0	51081	5.0		51883	6.0		
