																																					
	"Rapportperiode: 01-01-2016  -  01-05-2017
"																																				
											Ejby Mølle Renseanlæg																										
																																					
																																					
																																					
			Tilløb Renseanlæg												Tilløb Regntank				Afløb Regntank							Afløb		Afløb Renseanlæg									
			Flow		Max	Min		Bund-fald	COD ToT	NH4+		NO3+ NO2		PO4					Regn	Afløb		NH4+ NH3	NO3+ NO2	PO4- P	COD ToT	MKT		Flow	Max Time	Temp		Ilt	Bund-fald	NH4+ NH3	NO3+ NO2	PO4	Jern
Dato			m³		m³	m³		ml/l	mg/l	mg/l		mg/l		mg/l	m³				mm	m³		mg/l	mg/l	mg/l	mg/l	m³		m³	m³	°C		%	ml/l	mg/l	mg/l	mg/l	mg/l
10 maj  tir			47,900		2,300	1,600									0				0.0	0						0		47,500	2,400	12.6		82		0.001	1.82		
11 maj  ons			47,700		2,400	1,500									0				0.0	0						0		44,100	2,300	13.0		83		0.002	1.08		
12 maj  tor			46,000		2,200	1,500									0				0.0	0						0		44,400	2,300	13.3		85		0.000	1.15		
13 maj  fre			47,400		2,700	1,500									0				0.0	0						0		45,600	2,600	13.4		84		0.000	1.55		
14 maj  lør			41,400		2,100	1,200									0				0.0	0						0		39,500	2,100	13.4		86		0.000	1.64		
15 maj  søn			42,400		2,400	1,200									0				0.4	0						0		40,300	2,300	13.0		87		0.001	4.03		
16 maj  man			41,400		2,100	1,200									0				0.2	0						0		39,100	2,100	12.5		88		0.001	7.00		
17 maj  tir			43,100		2,200	1,400									0				0.0	0						0		41,000	2,100	12.4		89		0.001	5.06		
18 maj  ons			43,900		2,100	1,400									0				0.0	0						0		41,600	2,100	12.2		87		0.000	1.50		
19 maj  tor			42,800		2,100	1,300									0				0.0	0						0		40,500	2,100	12.8		87		0.001	0.91		
20 maj  fre			41,100		2,000	1,300									0				0.0	0						0		39,000	2,000	13.4		87		0.001	1.30		
21 maj  lør			68,600		6,200	1,100									2500				5.6	0						0		65,000	6,000	13.5		82		0.382	5.26		
22 maj  søn			58,200		6,300	1,700			578	18.90		1.07		0.90	0				3.6	0						0		54,100	6,000	13.5		81		0.042	3.85	0.130	0.040
23 maj  man			82,200		6,700	1,300									8200				6.4	300						0		76,700	6,400	13.6		82		0.021	3.14		
24 maj  tir			47,000		3,000	1,300									0				1.0	0						0		43,100	3,000	13.5		86		0.000	0.71		
25 maj  ons			40,700		2,000	1,300									0				0.0	0						0		38,400	2,000	13.6		89		0.009	0.67		
26 maj  tor			40,100		1,900	1,200									0				0.0	0						0		37,900	1,900	13.9		89		0.016	0.91		
27 maj  fre			39,200		2,000	1,200									0				0.0	0						0		37,300	1,900	13.8		90		0.016	0.88		
28 maj  lør			37,200		1,900	1,000									0				0.0	0						0		35,200	1,800	13.9		89		0.020	0.95		
29 maj  søn			40,400		2,700	1,100									0				1.8	0						0		38,000	2,400	14.1		89		0.020	2.00		
30 maj  man			63,300		6,300	1,200									2800				2.0	0						0		57,900	6,000	14.2		82		0.136	4.93		
31 maj  tir			45,500		3,300	1,200									0				1.6	0						0		41,400	3,200	14.6		88		0.028	0.80		
01 jun  ons			39,700		1,900	1,300									0				0.0	0						0		37,900	2,000	15.0		88		0.025	0.73		
02 jun  tor			39,400		2,100	1,100									0				0.0	0						0		38,200	2,100	15.4		87		0.023	0.83		
03 jun  fre			38,500		2,000	1,200									0				0.0	0						0		37,300	1,900	15.7		88		0.023	0.92		
04 jun  lør			35,400		1,800	1,000									0				0.0	0						0		34,500	1,800	16.0		87		0.024	1.08		
05 jun  søn			35,500		1,800	900									0				0.0	0						0		34,700	1,900	16.1		88		0.022	1.36		
06 jun  man			36,800		2,000	1,000									0				0.2	0						0		37,600	3,200	15.8		80		0.030	2.04		
07 jun  tir			37,200		2,000	1,100									0				0.0	0						0		36,500	1,800	15.6		82		0.021	1.01		
08 jun  ons			40,000		2,100	1,000			998	32.20		0.21		1.78	0				0.0	0						0		36,600	1,900	15.6		88		0.024	0.87	0.090	0.040
09 jun  tor			37,700		2,000	1,000									0				0.0	0						0		36,000	1,900	15.4		89		0.026	0.73		
10 jun  fre			37,000		1,900	800									0				0.0	0						0		34,900	1,900	15.4		87		0.029	0.76		
11 jun  lør			34,100		1,700	1,000									0				0.0	0						0		32,600	1,900	15.2		86		0.029	0.86		
12 jun  søn			34,400		1,800	800									0				0.4	0						0		33,000	1,800	15.0		87		0.031	0.95		
13 jun  man			42,300		2,400	1,000									0				1.6	0						0		40,900	2,600	14.8		85		0.035	1.24		
14 jun  tir			37,000		1,800	1,000									0				0.0	0						0		35,700	1,800	14.4		85		0.047	0.97		
15 jun  ons			57,400		6,100	1,200									0				4.2	0						0		54,600	5,500	14.5		81		0.504	1.99		
16 jun  tor			64,900		6,600	1,200									3300				12.2	0						0		60,600	6,400	15.1		82		0.211	1.88		
17 jun  fre			51,700		4,600	1,400									0				1.2	0						0		50,700	4,400	15.4		81		0.031	1.54		
18 jun  lør			35,300		2,000	1,000									0				0.0	0						0		34,300	2,000	15.5		84		0.021	0.75		
19 jun  søn			33,000		1,700	800									0				0.0	0						0		32,000	1,600	15.3		87		0.021	0.74		
20 jun  man			87,400		6,700	1,200									19200				14.8	11,200						0		81,800	6,400	14.9		73		0.563	3.35		
21 jun  tir			65,300		4,400	1,200									0				0.2	0						0		61,900	4,100	14.8		83		0.021	1.06		
22 jun  ons			45,900		4,000	1,000									0				2.0	0						0		42,800	4,000	14.9		85		0.021	0.85		
23 jun  tor			37,000		1,800	1,000									0				0.0	0						0		35,100	1,900	15.3		86		0.023	0.61	0.130	0.070
24 jun  fre			36,300		1,800	900									0				0.0	0						0		34,500	1,900	16.0		87		0.026	0.93	0.130	0.070
25 jun  lør			70,700		6,800	900									14200				13.2	6,200						0		66,700	6,400	16.6		74		0.633	3.67		
26 jun  søn			53,800		3,100	1,300									0				0.2	0						0		50,000	3,000	16.4		84		0.022	0.95		
27 jun  man			47,800		2,600	1,300									0				0.6	0						0		45,800	2,700	15.8		85		0.003	1.03		
28 jun  tir			37,400		2,100	1,000									0				0.0	0						0		35,700	2,000	15.6		87		0.000	0.56		
29 jun  ons			51,900		4,200	1,200									0				4.2	100						0		46,800	4,000	15.7		82		0.052	1.28		
30 jun  tor			68,900		6,600	1,400									8500				7.2	600						0		65,100	6,300	15.8		82		0.441	1.18		
01 jul  fre			95,900		6,800	1,800									7000				11.2	0						0		89,200	6,400	15.8		81		0.735	2.09		
02 jul  lør			62,400		4,400	1,200									0				0.2	0						0		57,200	4,300	15.5		82		0.111	1.08		
03 jul  søn			48,100		2,900	1,000									0				1.6	0						0		45,500	2,900	15.2		88		0.000	0.64		
04 jul  man			39,900		2,200	1,100									0				0.4	0						0		38,400	2,200	15.0		88		0.000	0.53	0.220	0.010
05 jul  tir			105,500		6,700	1,200									13900				17.0	6,000						0		98,000	6,400	15.2		81		1.105	2.06		
06 jul  ons			60,700		3,200	1,200									0				0.0	100						0		55,500	3,000	15.2		83		0.009	0.99		
07 jul  tor			39,200		1,900	1,200									0				0.0	0						0		38,000	1,900	15.1		86		0.001	0.49		
08 jul  fre			72,700		6,700	1,200									6500				8.0	0						0		68,900	6,300	15.2		69		0.762	1.60		
09 jul  lør			48,500		5,400	1,400									400				4.4	0						0		45,600	4,500	15.3		84		0.002	0.55		
10 jul  søn			70,700		6,600	1,200									2000				3.4	0						0		68,300	6,300	15.4		82		0.311	2.66		
11 jul  man			64,400		6,700	1,400									1800				7.6	0						0		61,200	6,400	15.3		81		0.334	1.47		
12 jul  tir			45,700		2,400	1,400									0				0.0	0						0		44,400	2,300	15.5		83		0.001	0.54		
13 jul  ons			39,700		2,100	1,100									0				0.0	0						0		38,000	2,100	15.7		88		0.001	0.51		
