																					
																					
																					
	Rapportperiode: 01-01-2016  -  01-05-2017							Ejby Mølle Renseanlæg													
																					
	Forklaringstankene 1 - 7 Flow: januar 2016																				
																					
																					
																					
																					
		Tilløb	Tilløb	FK 1	FK 2				FK 3	FK 4	FK 5	FK 6	FK 7	Total		Jern		Polymer	Humus	Elforbrug	
		"Forklaring
MF1"	"Forklaring
MF2"	Flow	Flow				Flow	Flow	Flow	Flow	Flow	flow forklaring		dosering forklaring		Dosering	Slam	"Forklarings
tanke"	
Dato		m³	m³	m³	m³				m³	m³	m³	m³	m³	m³		liter		"Kg
"	m³	kWh	
05 jul  tir		52000	53500	12100	15230				19560	16800	17160	14350	13330	105500		1267		0	1722	1390	
06 jul  ons		30500	30200	6890	8840				11110	10010	9770	8320	7250	60700		1269		4	1665	928	
07 jul  tor		19800	19400	5520	5780				7180	6440	6230	5510	4470	39200		1270		0	1658	676	
08 jul  fre		36200	36500	8430	10360				13280	11800	12110	10210	8910	72700		1265		0	1689	1044	
09 jul  lør		24400	24100	6290	6920				8650	7940	7950	6910	5580	48500		1265		0	1698	812	
10 jul  søn		35300	35400	8540	10020				12680	11350	11750	9840	8560	70700		1272		0	1695	1037	
11 jul  man		32100	32300	8070	9390				11850	10410	10520	8960	7530	64400		1266		1	1672	808	
12 jul  tir		23100	22600	5510	6250				7840	7690	8200	6850	5250	45700		1276		5	1638	584	
13 jul  ons		20100	19600	5170	5850				7280	6710	6570	5770	4080	39700		1281		5	1602	553	
14 jul  tor		28900	28700	6950	8310				10610	9500	9540	8170	6770	57600		1275		0	1642	744	
15 jul  fre		18000	17600	4820	5170				6490	6060	5870	5210	3820	35600		1281		2	1641	523	
16 jul  lør		18100	17600	4540	4880				6270	6160	6480	5470	3780	35700		1274		1	1638	515	
17 jul  søn		17900	17300	4220	5370				6640	6170	6030	5450	3210	35200		1278		0	1644	534	
18 jul  man		17700	17100	4880	5220				6590	6020	5900	5230	2740	34800		1274		0	1650	522	
19 jul  tir		17300	16600	4260	4530				5980	5930	6480	5480	3010	33900		1274		0	1646	516	
20 jul  ons		17200	16600	3980	5130				6500	5920	5940	5260	2770	33800		1280		0	1659	518	
21 jul  tor		15600	14900	4130	4260				5420	4960	5050	4530	3930	30500		1281		0	1997	460	
22 jul  fre		15100	14500	3400	3660				4940	4900	5390	4700	4470	29600		1283		2	1656	480	
23 jul  lør		14200	13700	3020	3800				5090	4730	4680	4320	4130	27900		1280		2	1655	465	
24 jul  søn		14400	13800	3590	3940				5140	4630	4590	4150	4000	28200		1279		0	1661	461	
25 jul  man		20200	19800	4510	5280				6890	6590	6880	5880	5650	40000		1281		0	1668	569	
26 jul  tir		14900	14600	4090	4170				5230	4790	4630	4290	4170	29500		1281		7	1663	429	
27 jul  ons		16700	16200	3830	4120				5410	5400	5910	5070	4850	32900		1311		19	1655	476	
28 jul  tor		15200	14800	3910	4120				5340	4880	4810	4400	4250	30000		1311		42	1647	451	
29 jul  fre		44300	44300	9980	12710				15940	14110	14110	12050	11590	88600		1310		27	1665	1052	
30 jul  lør		33500	33400	7680	9400				11830	10760	10810	9270	8990	66900		1311		50	1674	853	
31 jul  søn		15200	14900	4130	4220				5340	4940	4660	4350	4170	30100		1307		28	1652	463	
01 aug  man		23400	23300	5620	6410				8210	7600	7640	6670	6440	46700		1302		45	1640	661	
02 aug  tir		17200	16800	4090	4290				5560	5600	5850	5170	5070	34000		1299		34	1602	531	
03 aug  ons		35800	36000	8700	10310				12850	11490	11430	9900	9460	71800		1302		47	1590	906	
04 aug  tor		21900	21300	5100	5540				7060	7030	7440	6330	6190	43200		1299		36	1603	626	
05 aug  fre		19000	18700	4890	5090				6560	6170	6000	5380	5230	37700		1299		48	1591	586	
06 aug  lør		19500	19300	4920	5170				6710	6370	6250	5570	5380	38800		1304		31	1598	592	
07 aug  søn		15300	15100	3710	3550				5030	5110	5460	4730	4630	30400		1297		48	1603	504	
08 aug  man		24300	20000	5930	6420				8380	7870	7970	6960	6720	44300		1300		35	1892	574	
09 aug  tir		18800	18300	4680	5040				6610	6100	5960	5350	5120	37100		1296		47	1580	558	
10 aug  ons		19100	18400	4380	5040				6520	6210	6200	5530	5240	37500		1295		28	1556	553	
11 aug  tor		16500	15900	4430	4310				5800	5350	5100	4700	4480	32400		1296		46	1519	526	
12 aug  fre		16000	15200	3800	3650				5250	5220	5540	4820	4640	31200		1297		40	1509	480	
13 aug  lør		15000	14300	3530	3860				5330	4990	4720	4440	4180	29300		1302		47	1511	485	
14 aug  søn		22500	22300	5400	6050				7920	7330	7240	6370	6130	44800		1301		32	1537	645	
15 aug  man		16400	16200	4040	4070				5490	5360	5590	4870	4720	32600		1299		46	1531	517	
16 aug  tir		16400	16100	4350	4470				5800	5290	5080	4660	4470	32500		1298		34	1479	515	
17 aug  ons		15900	15600	3770	3750				5160	5200	5620	4860	4660	31500		1299		46	1454	496	
18 aug  tor		16500	16000	4250	4450				5790	5350	5090	4720	4430	32500		1301		36	1426	526	
19 aug  fre		16300	15900	3820	5410				7380	7400	7990	6850	6510	32200		1296		47	1892	508	
20 aug  lør		15400	15000	3640	4130				5370	5110	4920	4590	4270	30400		1300		38	1418	514	
21 aug  søn		15300	14900	4110	4110				5460	4980	4810	4390	4170	30200		1298		47	1431	504	
22 aug  man		35400	35700	8480	9840				12440	11330	11590	9750	9400	71100		1301		32	1454	900	
23 aug  tir		17300	17100	4570	4670				6060	5600	5360	4960	4780	34400		1292		49	1474	544	
24 aug  ons		16700	16500	3980	4080				5480	5470	5800	5050	4870	33200		1298		2	1439	530	
25 aug  tor		16700	16500	4510	4510				5900	5430	5140	4720	4540	33200		1301		48	1414	641	
26 aug  fre		15800	15700	3640	3750				5210	5300	5560	4880	4680	31500		1300		35	1400	596	
27 aug  lør		19900	19900	4720	5590				7060	6630	6340	5800	5530	39800		1300		50	1402	606	
28 aug  søn		38500	38600	9210	10650				13290	12270	12300	10550	10350	77100		1294		38	1444	952	
29 aug  man		16700	16700	4030	4160				5520	5510	5700	5070	4920	33400		1299		49	1419	540	
30 aug  tir		16700	16600	3940	4720				5980	5480	5170	4890	4590	33300		1304		35	1369	553	
31 aug  ons		17000	16700	4330	4400				5770	5500	5560	4930	4750	33700		1170		47	1347	554	
01 sep  tor		17400	17100	1300	1780				7480	6920	6760	6100	5720	34500		1138		37	1341	661	
02 sep  fre		17800	17400	0	0				7920	7570	8110	6800	6570	35200		1137		50	1341	539	
03 sep  lør		21400	21200	0	0				10050	9315	9190	8230	7750	42600		1139		35	1350	615	
04 sep  søn		63200	65500	0	0				30000	28235	27880	24880	23870	128700		1140		41	1399	1484	
05 sep  man		33300	32800	0	0				14530	13830	14580	12480	11840	66100		1136		37	1384	979	
06 sep  tir		18200	17800	0	0				7770	7930	7900	7160	6590	36000		1140		157	1323	681	
07 sep  ons		18000	17800	0	0				8050	7660	7830	7020	6460	35800		1140		40	1296	565	
08 sep  tor		17900	17500	0	0				8300	7580	7620	6890	6350	35400		1141		0	1334	544	
09 sep  fre		16700	16500	0	0				7260	6890	7870	6650	6110	33200		1138		98	1365	514	
10 sep  lør		15600	15300	0	0				7180	6620	6730	6150	5660	30900		1135		48	1367	501	
11 sep  søn		15700	15300	0	0				7330	6690	6700	6070	5650	31000		1140		40	1381	501	
