Sample,SeqRun,LibID,Read no,ID,Line,Mean,Plant,Date,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc
MQ190702-115,MQ190702,LIB-Aalborg-W-LT-543,64530.0,,pre-S::Select,,Aalborg W,2018-05-01,2018,,,,,,,,,,,,,,,
MQ190702-116,MQ190702,LIB-Aalborg-W-LT-545,68788.0,,pre-S::Select,,Aalborg W,2018-05-09,2018,,,,,,,,,,,,,,,
MQ190702-117,MQ190702,LIB-Aalborg-W-LT-547,68754.0,,pre-S::Select,,Aalborg W,2018-05-17,2018,,,,,,,,,,,,,,,
MQ190702-118,MQ190702,LIB-Aalborg-W-LT-551,63602.0,,pre-S::Select,,Aalborg W,2018-05-31,2018,,,,,,,,,,,,,,,
MQ190702-119,MQ190702,LIB-Aalborg-W-LT-553,66533.0,,pre-S::Select,,Aalborg W,2018-06-06,2018,,,,,,,,,,,,,,,
MQ190702-120,MQ190702,LIB-Aalborg-W-LT-555,52545.0,,pre-S::Select,,Aalborg W,2018-06-11,2018,,,,,,,,,,,,,,,
MQ190702-121,MQ190702,LIB-Aalborg-W-LT-557,49783.0,,pre-S::Select,,Aalborg W,2018-06-19,2018,,,,,,,,,,,,,,,
MQ190702-122,MQ190702,LIB-Aalborg-W-LT-559,36901.0,,pre-S::Select,,Aalborg W,2018-06-22,2018,,,,,,,,,,,,,,,
MQ190702-123,MQ190702,LIB-Aalborg-W-LT-561,23098.0,,pre-S::Select,,Aalborg W,2018-06-26,2018,,,,,,,,,,,,,,,
MQ190702-124,MQ190702,LIB-Aalborg-W-LT-563,44603.0,,pre-S::Select,,Aalborg W,2018-06-29,2018,,,,,,,,,,,,,,,
MQ190702-125,MQ190702,LIB-Aalborg-W-LT-565,49408.0,,pre-S::Select,,Aalborg W,2018-07-03,2018,,,,,,,,,,,,,,,
MQ190702-126,MQ190702,LIB-Aalborg-W-LT-567,43661.0,,pre-S::Select,,Aalborg W,2018-07-06,2018,,,,,,,,,,,,,,,
MQ190702-127,MQ190702,LIB-Aalborg-W-LT-569,44775.0,,pre-S::Select,,Aalborg W,2018-07-10,2018,,,,,,,,,,,,,,,
MQ190702-128,MQ190702,LIB-Aalborg-W-LT-571,58873.0,,pre-S::Select,,Aalborg W,2018-07-13,2018,,,,,,,,,,,,,,,
MQ190702-129,MQ190702,LIB-Aalborg-W-LT-573,65898.0,,pre-S::Select,,Aalborg W,2018-07-17,2018,,,,,,,,,,,,,,,
MQ190702-130,MQ190702,LIB-Aalborg-W-LT-575,46681.0,,pre-S::Select,,Aalborg W,2018-07-20,2018,,,,,,,,,,,,,,,
MQ190702-131,MQ190702,LIB-Aalborg-W-LT-577,51998.0,,pre-S::Select,,Aalborg W,2018-07-31,2018,,,,,,,,,,,,,,,
MQ190702-132,MQ190702,LIB-Aalborg-W-LT-579,55266.0,,pre-S::Select,,Aalborg W,2018-08-03,2018,,,,,,,,,,,,,,,
MQ190702-133,MQ190702,LIB-Aalborg-W-LT-581,66621.0,,pre-S::Select,,Aalborg W,2018-08-07,2018,,,,,,,,,,,,,,,
MQ190702-134,MQ190702,LIB-Aalborg-W-LT-583,64321.0,,pre-S::Select,,Aalborg W,2018-08-10,2018,,,,,,,,,,,,,,,
MQ190702-135,MQ190702,LIB-Aalborg-W-LT-585,68860.0,,pre-S::Select,,Aalborg W,2018-08-14,2018,,,,,,,,,,,,,,,
MQ190702-136,MQ190702,LIB-Aalborg-W-LT-587,52604.0,,pre-S::Select,,Aalborg W,2018-08-17,2018,,,,,,,,,,,,,,,
MQ190702-137,MQ190702,LIB-Aalborg-W-LT-589,59221.0,,pre-S::Select,,Aalborg W,2018-08-21,2018,,,,,,,,,,,,,,,
MQ190702-138,MQ190702,LIB-Aalborg-W-LT-591,39978.0,,pre-S::Select,,Aalborg W,2018-08-24,2018,,,,,,,,,,,,,,,
MQ190702-139,MQ190702,LIB-Aalborg-W-LT-593,49876.0,,pre-S::Select,,Aalborg W,2018-08-28,2018,,,,,,,,,,,,,,,
MQ190702-140,MQ190702,LIB-Aalborg-W-LT-595,54861.0,,pre-S::Select,,Aalborg W,2018-08-31,2018,,,,,,,,,,,,,,,
MQ190702-141,MQ190702,LIB-Aalborg-W-LT-597,62978.0,,pre-S::Select,,Aalborg W,2018-09-04,2018,,,,,,,,,,,,,,,
MQ190702-142,MQ190702,LIB-Aalborg-W-LT-599,50709.0,,pre-S::Select,,Aalborg W,2018-09-07,2018,,,,,,,,,,,,,,,
MQ190702-143,MQ190702,LIB-Aalborg-W-LT-601,50072.0,,pre-S::Select,,Aalborg W,2018-09-11,2018,,,,,,,,,,,,,,,
MQ190702-144,MQ190702,LIB-Aalborg-W-LT-603,49768.0,,pre-S::Select,,Aalborg W,2018-09-14,2018,,,,,,,,,,,,,,,
MQ190702-145,MQ190702,LIB-Aalborg-W-LT-605,48784.0,,pre-S::Select,,Aalborg W,2018-09-18,2018,,,,,,,,,,,,,,,
MQ190702-146,MQ190702,LIB-Aalborg-W-LT-607,33537.0,,pre-S::Select,,Aalborg W,2018-09-21,2018,,,,,,,,,,,,,,,
MQ190702-147,MQ190702,LIB-Aalborg-W-LT-609,43322.0,,pre-S::Select,,Aalborg W,2018-09-24,2018,,,,,,,,,,,,,,,
MQ190702-148,MQ190702,LIB-Aalborg-W-LT-611,53381.0,,pre-S::Select,,Aalborg W,2018-09-28,2018,,,,,,,,,,,,,,,
MQ190702-149,MQ190702,LIB-Aalborg-W-LT-613,71615.0,,pre-S::Select,,Aalborg W,2018-10-03,2018,,,,,,,,,,,,,,,
MQ190702-150,MQ190702,LIB-Aalborg-W-LT-615,43720.0,,pre-S::Select,,Aalborg W,2018-10-05,2018,,,,,,,,,,,,,,,
MQ190702-151,MQ190702,LIB-Aalborg-W-LT-617,48655.0,,pre-S::Select,,Aalborg W,2018-10-09,2018,,,,,,,,,,,,,,,
MQ190702-152,MQ190702,LIB-Aalborg-W-LT-619,67391.0,,pre-S::Select,,Aalborg W,2018-10-12,2018,,,,,,,,,,,,,,,
MQ190702-153,MQ190702,LIB-Aalborg-W-LT-621,73189.0,,pre-S::Select,,Aalborg W,2018-10-16,2018,,,,,,,,,,,,,,,
MQ190702-154,MQ190702,LIB-Aalborg-W-LT-623,52194.0,,pre-S::Select,,Aalborg W,2018-10-19,2018,,,,,,,,,,,,,,,
MQ190702-155,MQ190702,LIB-Aalborg-W-LT-625,74879.0,,pre-S::Select,,Aalborg W,2018-10-23,2018,,,,,,,,,,,,,,,
MQ190702-156,MQ190702,LIB-Aalborg-W-LT-627,71059.0,,pre-S::Select,,Aalborg W,2018-10-26,2018,,,,,,,,,,,,,,,
MQ190702-157,MQ190702,LIB-Aalborg-W-LT-629,77330.0,,pre-S::Select,,Aalborg W,2018-10-30,2018,,,,,,,,,,,,,,,
MQ190702-158,MQ190702,LIB-Aalborg-W-LT-631,60651.0,,pre-S::Select,,Aalborg W,2018-11-02,2018,,,,,,,,,,,,,,,
MQ190702-159,MQ190702,LIB-Aalborg-W-LT-633,68532.0,,pre-S::Select,,Aalborg W,2018-11-05,2018,,,,,,,,,,,,,,,
MQ190702-160,MQ190702,LIB-Aalborg-W-LT-635,37516.0,,pre-S::Select,,Aalborg W,2018-11-09,2018,,,,,,,,,,,,,,,
MQ190702-161,MQ190702,LIB-Aalborg-W-LT-637,38092.0,,pre-S::Select,,Aalborg W,2018-11-13,2018,,,,,,,,,,,,,,,
